Ticker,Date,Action,Shares_Sold,Sale_Price,Sale_Value,Fee,Allocated_Cost_Basis,Realized_PnL
COCHINSHIP.NS,2024-12-02,SELL,4243,1641.8875732421875,6966528.973266602,6966.5289732666015,9330068.38192412,-2370505.9376307856
PGEL.NS,2024-12-02,SELL,11631,747.8203735351562,8697898.764587402,8697.898764587402,7461384.447729126,1227816.4180936888
GVT&D.NS,2024-12-02,TRIM,478,1761.0565185546875,841785.0158691406,841.7850158691407,533133.8613049715,307809.36954829993
WOCKPHARMA.NS,2024-12-02,TRIM,962,1427.75,1373495.5,1373.4955,1009328.6438098145,362793.36069018557
NETWEB.NS,2024-12-02,TRIM,367,2783.0908203125,1021394.3310546875,1021.3943310546875,922915.6553481148,97457.28137551807
RVNL.NS,2024-12-02,TRIM,443,432.0697937011719,191406.91860961914,191.40691860961914,225678.41507045343,-34462.90337944392
TRENT.NS,2024-12-02,TRIM,72,6791.33740234375,488976.29296875,488.97629296875,542800.205174854,-54312.88849907275
NEULANDLAB.NS,2024-12-02,TRIM,111,16603.091796875,1842943.189453125,1842.9431894531251,1386092.4724130859,455007.77385058603
TRENT.NS,2025-01-01,SELL,1470,7053.54833984375,10368716.059570312,10368.716059570314,11082170.855653271,-723823.5121425297
NETWEB.NS,2025-01-01,SELL,2742,2884.654296875,7909722.08203125,7909.7220820312505,6895462.471292999,1006349.8886562204
INOXWIND.NS,2025-01-01,SELL,31975,187.3500061035156,5990516.445159911,5990.516445159911,6431801.528572464,-447275.5998577131
GVT&D.NS,2025-01-01,TRIM,528,2040.0037841796875,1077121.998046875,1077.121998046875,588901.0016088389,487143.8744399891
OFSS.NS,2025-01-01,TRIM,8,11715.6044921875,93724.8359375,93.7248359375,91115.508859375,2515.6022421875095
RVNL.NS,2025-02-01,SELL,14394,428.6096801757813,6169407.736450196,6169.407736450196,7283094.784744397,-1119856.456030651
GODFRYPHLP.NS,2025-02-01,SELL,3797,1619.623291015625,6149709.635986328,6149.709635986328,7014840.235357055,-871280.3090067133
OFSS.NS,2025-02-01,SELL,672,8249.12890625,5543414.625,5543.414625,7653702.744187499,-2115831.5338124996
WOCKPHARMA.NS,2025-02-01,TRIM,388,1558.550048828125,604717.4189453125,604.7174189453125,412308.59492874437,191804.10659762286
GVT&D.NS,2025-03-03,SELL,4594,1306.2176513671875,6000763.890380859,6000.763890380859,5489137.94625181,505625.1802386688
NEULANDLAB.NS,2025-03-03,SELL,476,10459.29296875,4978623.453125,4978.623453125,6079061.308632812,-1105416.4789609378
POLICYBZR.NS,2025-03-03,SELL,4912,1451.8499755859375,7131487.080078125,7131.4870800781255,10130643.88603357,-3006288.293035524
JYOTICNC.NS,2025-03-03,SELL,6373,770.75,4911989.75,4911.98975,6572986.814803589,-1665909.0545535889
ANANTRAJ.NS,2025-03-03,SELL,10560,449.0208435058594,4741660.107421875,4741.660107421875,6729076.299257812,-1992157.8519433588
PGEL.NS,2025-03-03,TRIM,1707,806.0946655273438,1376003.5940551758,1376.0035940551759,1690584.2044851985,-315956.6140240778
DIXON.NS,2025-03-03,TRIM,108,14045.4990234375,1516913.89453125,1516.91389453125,1912071.0148822672,-396674.03424554854
PGEL.NS,2025-04-01,TRIM,8,901.2027587890624,7209.622070312499,7.209622070312499,7923.065984699231,-720.6535364570445
SARDAEN.NS,2025-04-01,TRIM,438,524.71484375,229825.1015625,229.8251015625,195789.58135308838,33805.69510784911
MAZDOCK.NS,2025-04-01,TRIM,182,2555.10009765625,465028.2177734375,465.0282177734375,388697.79532568355,75865.39422998053
