Date,Ticker,Action,Shares,Price,Trade_Value,Fee
2022-02-01,JBMA.NS,TRIM,1179,303.9447937011719,358350.91177368164,358.3509117736817
2022-02-01,KPITTECH.NS,BUY,3850,604.0030517578125,2325411.749267578,2325.411749267578
2022-03-02,ADANIENT.NS,SELL,1434,1638.1431884765625,2349097.3322753906,2349.0973322753907
2022-03-02,KPITTECH.NS,BUY,285,548.0674438476562,156199.22149658203,156.19922149658203
2022-03-02,JSWENERGY.NS,TRIM,790,330.56689453125,261147.8466796875,261.1478466796875
2022-03-02,ATGL.NS,BUY,176,1665.4595947265625,293120.888671875,293.120888671875
2022-03-02,JBMA.NS,BUY,2839,211.08660888671875,599274.8826293945,599.2748826293946
2022-03-02,CGPOWER.NS,BUY,647,167.6370086669922,108461.14460754395,108.46114460754394
2022-03-02,ADANIENSOL.NS,TRIM,95,2241.050048828125,212899.75463867188,212.89975463867188
2022-03-02,PGEL.NS,BUY,6451,60.833343505859375,392435.8989562988,392.43589895629884
2022-03-02,POONAWALLA.NS,BUY,2498,236.53729248046875,590870.1566162109,590.8701566162109
2022-03-02,ANGELONE.NS,BUY,15064,122.23210906982422,1841304.491027832,1841.304491027832
2022-04-01,PGEL.NS,SELL,29605,74.91254425048828,2217785.8725357056,2217.7858725357055
2022-04-01,ATGL.NS,SELL,1251,2246.208740234375,2810007.134033203,2810.0071340332033
2022-04-01,ANGELONE.NS,TRIM,175,141.2998809814453,24727.47917175293,24.72747917175293
2022-04-01,JSWENERGY.NS,BUY,2549,301.3748474121094,768204.4860534668,768.2044860534668
2022-04-01,KPITTECH.NS,BUY,487,591.01513671875,287824.37158203125,287.82437158203123
2022-04-01,CGPOWER.NS,BUY,1258,186.06028747558597,234063.84164428714,234.06384164428715
2022-04-01,JBMA.NS,BUY,783,227.0237579345703,177759.60246276855,177.75960246276856
2022-04-01,ADANIENSOL.NS,BUY,95,2421.449951171875,230037.74536132812,230.03774536132812
2022-04-01,POONAWALLA.NS,BUY,61,276.48760986328125,16865.744201660156,16.865744201660156
2022-04-01,DEEPAKFERT.NS,BUY,4646,542.0984497070312,2518589.397338867,2518.5893973388675
2022-05-02,ADANIENSOL.NS,SELL,1110,2804.449951171875,3112939.4458007812,3112.9394458007814
2022-05-02,DEEPAKFERT.NS,SELL,4646,620.5545654296875,2883096.510986328,2883.096510986328
2022-05-02,ANGELONE.NS,TRIM,2892,166.7107696533203,482127.54583740234,482.12754583740235
2022-05-02,KPITTECH.NS,BUY,438,522.2212524414062,228732.90856933594,228.73290856933593
2022-05-02,JBMA.NS,TRIM,1157,249.4004364013672,288556.30491638184,288.55630491638186
2022-05-02,JSWENERGY.NS,TRIM,10,297.232421875,2972.32421875,2.97232421875
2022-05-02,CGPOWER.NS,TRIM,575,190.2586212158203,109398.70719909668,109.39870719909668
2022-05-02,POONAWALLA.NS,TRIM,778,289.787841796875,225454.94091796875,225.45494091796874
2022-05-02,GMDCLTD.NS,BUY,14299,153.57867431640625,2196021.464050293,2196.021464050293
2022-05-02,RPOWER.NS,BUY,155916,14.199999809265137,2214007.170261383,2214.007170261383
2022-05-02,TATAELXSI.NS,BUY,435,7286.3046875,3169542.5390625,3169.5425390625
2022-06-01,JSWENERGY.NS,SELL,9652,259.73663330078125,2506977.9846191406,2506.977984619141
2022-06-01,RPOWER.NS,SELL,155916,13.199999809265137,2058091.170261383,2058.091170261383
2022-06-01,JBMA.NS,BUY,1167,214.4679718017578,250284.12309265137,250.28412309265138
2022-06-01,ANGELONE.NS,BUY,2952,137.62969970703125,406282.87353515625,406.2828735351563
2022-06-01,GMDCLTD.NS,BUY,630,136.41531372070312,85941.64764404297,85.94164764404297
2022-06-01,CGPOWER.NS,BUY,201,183.04736328125,36792.52001953125,36.79252001953125
2022-06-01,KPITTECH.NS,TRIM,218,528.2941284179688,115168.11999511719,115.1681199951172
2022-06-01,POONAWALLA.NS,BUY,424,256.0674743652344,108572.60913085938,108.57260913085938
2022-06-01,TATAELXSI.NS,TRIM,72,8173.0830078125,588461.9765625,588.4619765625
2022-06-01,BLS.NS,BUY,23629,90.60321044921876,2140863.2597045903,2140.8632597045903
2022-06-01,ADANIPOWER.NS,BUY,31597,61.41999816894531,1940687.682144165,1940.6876821441651
2022-07-01,POONAWALLA.NS,SELL,9546,228.5274658203125,2181523.188720703,2181.5231887207033
2022-07-01,ANGELONE.NS,SELL,14949,111.57112121582033,1667876.691055298,1667.8766910552981
2022-07-01,BLS.NS,TRIM,2946,95.96028137207033,282698.9889221192,282.6989889221192
2022-07-01,JBMA.NS,TRIM,986,216.5813140869141,213549.1756896973,213.5491756896973
2022-07-01,ADANIPOWER.NS,BUY,5782,52.650001525878906,304422.30882263184,304.42230882263186
2022-07-01,CGPOWER.NS,TRIM,1566,188.1347503662109,294619.01907348627,294.6190190734863
2022-07-01,GMDCLTD.NS,BUY,788,117.5133285522461,92600.50289916992,92.60050289916992
2022-07-01,KPITTECH.NS,TRIM,41,485.2008361816406,19893.234283447266,19.893234283447267
2022-07-01,TATAELXSI.NS,TRIM,15,7781.4013671875,116721.0205078125,116.7210205078125
2022-07-01,BSE.NS,BUY,10511,194.94195556640625,2049034.894958496,2049.0348949584964
2022-07-01,ATGL.NS,BUY,972,2385.50439453125,2318710.271484375,2318.710271484375
2022-08-01,BSE.NS,SELL,10511,221.5655517578125,2328875.514526367,2328.875514526367
2022-08-01,ADANIPOWER.NS,TRIM,1732,64.37000274658203,111488.84475708008,111.48884475708007
2022-08-01,ATGL.NS,TRIM,116,3213.242431640625,372736.1220703125,372.7361220703125
2022-08-01,BLS.NS,TRIM,1227,117.9537353515625,144729.2332763672,144.72923327636718
2022-08-01,CGPOWER.NS,TRIM,702,222.01776123046875,155856.46838378906,155.85646838378906
2022-08-01,JBMA.NS,BUY,1634,214.16961669921875,349953.15368652344,349.9531536865234
2022-08-01,TATAELXSI.NS,BUY,30,8324.1005859375,249723.017578125,249.723017578125
2022-08-01,GMDCLTD.NS,TRIM,1703,151.88462829589844,258659.52198791504,258.65952198791507
2022-08-01,KPITTECH.NS,BUY,269,531.209228515625,142895.28247070312,142.89528247070314
2022-08-01,ADANIENSOL.NS,BUY,901,3261.75,2938836.75,2938.83675
2022-09-01,JBMA.NS,SELL,10972,204.37359619140625,2242387.0974121094,2242.3870974121096
2022-09-01,KPITTECH.NS,SELL,5070,555.9599609375,2818717.001953125,2818.717001953125
2022-09-01,ADANIPOWER.NS,TRIM,3345,81.69999694824219,273286.4897918701,273.2864897918701
2022-09-01,CGPOWER.NS,BUY,2480,224.04283142089844,555626.2219238281,555.6262219238281
2022-09-01,GMDCLTD.NS,BUY,2700,148.40736389160156,400699.8825073242,400.6998825073242
2022-09-01,BLS.NS,BUY,3481,123.80227661132812,430955.7248840332,430.9557248840332
2022-09-01,ATGL.NS,BUY,31,3634.265380859375,112662.22680664062,112.66222680664063
2022-09-01,ADANIENSOL.NS,TRIM,22,3880.449951171875,85369.89892578125,85.36989892578126
2022-09-01,TATAELXSI.NS,BUY,29,8610.1748046875,249695.0693359375,249.69506933593752
2022-09-01,PGEL.NS,BUY,29234,88.806884765625,2596180.4692382812,2596.180469238281
2022-09-01,BDL.NS,BUY,7953,405.2713928222656,3223123.3871154785,3223.1233871154786
2022-10-03,CGPOWER.NS,SELL,17081,226.80882263183597,3874121.49937439,3874.12149937439
2022-10-03,TATAELXSI.NS,SELL,407,7934.55615234375,3229364.3540039062,3229.364354003906
2022-10-03,ADANIPOWER.NS,TRIM,95,70.97000122070312,6742.150115966797,6.742150115966797
2022-10-03,ATGL.NS,BUY,6,3096.552978515625,18579.31787109375,18.57931787109375
2022-10-03,ADANIENSOL.NS,BUY,71,3123.64990234375,221779.14306640625,221.77914306640625
2022-10-03,BDL.NS,TRIM,1650,427.7121887207031,705725.1113891602,705.7251113891601
2022-10-03,GMDCLTD.NS,BUY,387,123.55664825439452,47816.422874450676,47.81642287445068
2022-10-03,PGEL.NS,TRIM,6954,100.05825805664062,695805.1265258789,695.8051265258789
2022-10-03,BLS.NS,TRIM,4770,137.87191772460938,657649.0475463867,657.6490475463868
2022-10-03,ADANIENT.NS,BUY,1140,3151.56591796875,3592785.146484375,3592.785146484375
2022-10-03,DEEPAKFERT.NS,BUY,3268,842.9722290039062,2754833.2443847656,2754.8332443847657
2022-11-01,ADANIPOWER.NS,BUY,3895,69.77999877929688,271793.0952453613,271.7930952453613
2022-11-01,BLS.NS,TRIM,1507,163.650634765625,246621.50659179688,246.62150659179687
2022-11-01,ADANIENT.NS,TRIM,13,3569.205810546875,46399.675537109375,46.399675537109374
2022-11-01,ATGL.NS,TRIM,98,3676.157470703125,360263.43212890625,360.26343212890623
2022-11-01,DEEPAKFERT.NS,BUY,24,887.2354736328125,21293.6513671875,21.2936513671875
2022-11-01,BDL.NS,TRIM,133,472.8565368652344,62889.91940307617,62.88991940307617
2022-11-01,PGEL.NS,BUY,3933,101.4871597290039,399148.99921417236,399.14899921417236
2022-11-01,ADANIENSOL.NS,TRIM,3,3342.449951171875,10027.349853515625,10.027349853515625
2022-11-01,GMDCLTD.NS,BUY,607,129.29173278808594,78480.08180236816,78.48008180236816
2022-12-01,ADANIENSOL.NS,SELL,947,2834.25,2684034.75,2684.0347500000003
2022-12-01,PGEL.NS,SELL,26213,97.86493682861328,2565333.58908844,2565.33358908844
2022-12-01,ADANIPOWER.NS,BUY,798,66.08000183105469,52731.84146118164,52.731841461181645
